Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
20984005,000002A0,false,Rx,0,8,00,68,12,08,00,F7,FF,21,
20985823,000002A0,false,Rx,0,8,00,69,13,08,00,F7,FF,21,
20987362,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
20997299,00000312,false,Rx,0,8,00,10,88,78,00,FF,00,10,
20998463,000003F3,false,Rx,0,8,7C,24,00,0A,F7,FF,08,00,
20998699,000002A0,false,Rx,0,8,00,6A,14,08,00,F7,FF,21,
21000286,000002A0,false,Rx,0,8,00,6B,15,08,00,F7,FF,21,
21002116,000002A0,false,Rx,0,8,00,6C,16,08,00,F7,FF,21,
21003924,000002A0,false,Rx,0,8,00,6D,17,08,00,F7,FF,21,
21005752,000002A0,false,Rx,0,8,00,6E,18,08,00,F7,FF,21,
21017426,00000312,false,Rx,0,8,00,10,88,79,00,FF,00,11,
21017680,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
21018593,000003F3,false,Rx,0,8,7C,24,01,0B,F7,FF,08,00,
21018829,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
21020420,000002A0,false,Rx,0,8,00,60,0A,08,00,F7,FF,21,
21022238,000002A0,false,Rx,0,8,00,61,0B,08,00,F7,FF,21,
21024055,000002A0,false,Rx,0,8,00,62,0C,08,00,F7,FF,21,
21025875,000002A0,false,Rx,0,8,00,63,0D,08,00,F7,FF,21,
21037468,00000312,false,Rx,0,8,00,10,88,7A,00,FF,00,12,
21038619,000003F3,false,Rx,0,8,7C,24,02,0C,F7,FF,08,00,
21038866,000002A0,false,Rx,0,8,00,64,0E,08,00,F7,FF,21,
21040453,000002A0,false,Rx,0,8,00,65,0F,08,00,F7,FF,21,
21042272,000002A0,false,Rx,0,8,00,66,10,08,00,F7,FF,21,
21044090,000002A0,false,Rx,0,8,00,67,11,08,00,F7,FF,21,
21045919,000002A0,false,Rx,0,8,00,68,12,08,00,F7,FF,21,
21047387,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
21057436,00000312,false,Rx,0,8,00,10,88,7B,00,FF,00,13,
21058599,000003F3,false,Rx,0,8,7C,24,03,0D,F7,FF,08,00,
21058836,000002A0,false,Rx,0,8,00,69,13,08,00,F7,FF,21,
21060424,000002A0,false,Rx,0,8,00,6A,14,08,00,F7,FF,21,
21062242,000002A0,false,Rx,0,8,00,6B,15,08,00,F7,FF,21,
21064070,000002A0,false,Rx,0,8,00,6C,16,08,00,F7,FF,21,
21065879,000002A0,false,Rx,0,8,00,6D,17,08,00,F7,FF,21,
21077389,00000312,false,Rx,0,8,00,10,88,7C,00,FF,00,14,
21077632,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
21078545,000003F3,false,Rx,0,8,7C,24,04,0E,F7,FF,08,00,
