Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2070321,00000312,false,Rx,0,8,00,20,8F,01,00,FF,00,01,
2070573,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
2071488,000003F3,false,Rx,0,8,5C,66,04,86,FF,7F,00,80,
2071724,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
2073314,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
2075142,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
2076961,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
2078778,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
2080228,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
2090277,00000312,false,Rx,0,8,00,20,8F,02,00,FF,00,02,
2090529,000003F3,false,Rx,0,8,5C,66,05,87,FF,7F,00,80,
2091444,000003F3,false,Rx,0,8,5C,66,06,88,FF,7F,00,80,
2091679,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
2093270,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
2095089,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
2096919,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
2098736,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
2110308,00000312,false,Rx,0,8,00,20,8F,03,00,FF,00,03,
2110560,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
2110797,000003F3,false,Rx,0,8,5C,66,07,89,FF,7F,00,80,
2111469,000003F3,false,Rx,0,8,5C,66,08,8A,FF,7F,00,80,
2111705,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
2113297,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
2115115,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
2116945,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
2118761,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
2130303,00000312,false,Rx,0,8,00,20,8F,04,00,FF,00,04,
2130555,000003F3,false,Rx,0,8,5C,66,09,8B,FF,7F,00,80,
2131459,000003F3,false,Rx,0,8,5C,66,0A,8C,FF,7F,00,80,
2131695,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
2133297,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
2135115,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
2136934,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
2138761,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
2140321,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
2150310,00000312,false,Rx,0,8,00,20,8F,05,00,FF,00,05,
2150553,000003F3,false,Rx,0,8,5C,66,0B,8D,FF,7F,00,80,
2151466,000003F3,false,Rx,0,8,5C,66,0C,8E,FF,7F,00,80,
2151702,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
2153303,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
2155121,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
2156940,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
2158767,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
2170240,00000312,false,Rx,0,8,00,20,8F,06,00,FF,00,06,
2170492,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
2170719,000003F3,false,Rx,0,8,5C,66,0D,8F,FF,7F,00,80,
2171400,000003F3,false,Rx,0,8,5C,66,0E,90,FF,7F,00,80,
2171636,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
2173229,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
2175047,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
2176876,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
2178693,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
