Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
21387645,00000312,false,Rx,0,8,00,20,8F,01,00,FF,00,01,
21397705,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21407654,00000312,false,Rx,0,8,00,20,8F,02,00,FF,00,02,
21427650,00000312,false,Rx,0,8,00,20,8F,03,00,FF,00,03,
21427903,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21447658,00000312,false,Rx,0,8,00,20,8F,04,00,FF,00,04,
21457665,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21467703,00000312,false,Rx,0,8,00,20,8F,05,00,FF,00,05,
21487657,00000312,false,Rx,0,8,00,20,8F,06,00,FF,00,06,
21487911,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21507650,00000312,false,Rx,0,8,00,20,8F,07,00,FF,00,07,
21517688,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21527624,00000312,false,Rx,0,8,00,20,8F,08,00,FF,00,08,
21547630,00000312,false,Rx,0,8,00,20,8F,09,00,FF,00,09,
21547884,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21567706,00000312,false,Rx,0,8,00,20,8F,0A,00,FF,00,0A,
21577662,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21587647,00000312,false,Rx,0,8,00,20,8F,0B,00,FF,00,0B,
21607652,00000312,false,Rx,0,8,00,20,8F,0C,00,FF,00,0C,
21607906,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21627655,00000312,false,Rx,0,8,00,20,8F,0D,00,FF,00,0D,
21637702,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21647648,00000312,false,Rx,0,8,00,20,8F,0E,00,FF,00,0E,
21667703,00000312,false,Rx,0,8,00,20,8F,00,00,FF,00,00,
21667947,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21687645,00000312,false,Rx,0,8,00,20,8F,01,00,FF,00,01,
21697624,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21707650,00000312,false,Rx,0,8,00,20,8F,02,00,FF,00,02,
21727656,00000312,false,Rx,0,8,00,20,8F,03,00,FF,00,03,
21727900,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21747651,00000312,false,Rx,0,8,00,20,8F,04,00,FF,00,04,
21757658,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21767725,00000312,false,Rx,0,8,00,20,8F,05,00,FF,00,05,
21787659,00000312,false,Rx,0,8,00,20,8F,06,00,FF,00,06,
21787902,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21807651,00000312,false,Rx,0,8,00,20,8F,07,00,FF,00,07,
21817659,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21827705,00000312,false,Rx,0,8,00,20,8F,08,00,FF,00,08,
21847611,00000312,false,Rx,0,8,00,20,8F,09,00,FF,00,09,
21847864,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
21867695,00000312,false,Rx,0,8,00,20,8F,0A,00,FF,00,0A,
21877662,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
29606542,00000312,false,Rx,0,8,00,20,8F,01,00,FF,00,01,
29616447,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
29626495,00000312,false,Rx,0,8,00,20,8F,02,00,FF,00,02,
29646520,00000312,false,Rx,0,8,00,20,8F,03,00,FF,00,03,
29646772,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
29666522,00000312,false,Rx,0,8,00,20,8F,04,00,FF,00,04,
29676530,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
29686517,00000312,false,Rx,0,8,00,20,8F,05,00,FF,00,05,
29706575,00000312,false,Rx,0,8,00,20,8F,06,00,FF,00,06,
29706829,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
