Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
471632,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
473450,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
484941,00000312,false,Rx,0,8,00,10,8F,04,00,FF,00,05,
485193,000003F3,false,Rx,0,8,5C,66,09,8B,FF,7F,00,80,
486107,000003F3,false,Rx,0,8,5C,66,0A,8C,FF,7F,00,80,
486343,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
487934,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
489751,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
491580,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
493399,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
494979,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
504865,00000312,false,Rx,0,8,00,10,8F,05,00,FF,00,06,
505117,000003F3,false,Rx,0,8,5C,66,0B,8D,FF,7F,00,80,
506021,000003F3,false,Rx,0,8,5C,66,0C,8E,FF,7F,00,80,
506267,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
507858,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
509676,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
511495,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
513323,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
524997,00000312,false,Rx,0,8,00,10,8F,06,00,FF,00,07,
525240,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
525475,000003F3,false,Rx,0,8,5C,66,0D,8F,FF,7F,00,80,
526147,000003F3,false,Rx,0,8,5C,66,0E,90,FF,7F,00,80,
526393,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
527985,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
529804,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
531632,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
533450,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
544952,00000312,false,Rx,0,8,00,10,8F,07,00,FF,00,08,
545195,000003F3,false,Rx,0,8,5C,66,00,82,FF,7F,00,80,
546108,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
546344,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
547944,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
549763,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
551581,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
553409,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
554959,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
564946,00000312,false,Rx,0,8,00,10,8F,08,00,FF,00,09,
566098,000003F3,false,Rx,0,8,5C,66,04,86,FF,7F,00,80,
566344,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
567933,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
569753,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
571571,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
573399,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
584942,00000312,false,Rx,0,8,00,10,8F,09,00,FF,00,0A,
585195,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
585431,000003F3,false,Rx,0,8,5C,66,05,87,FF,7F,00,80,
586102,000003F3,false,Rx,0,8,5C,66,06,88,FF,7F,00,80,
586348,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
587940,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
589758,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
591587,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
593405,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
604947,00000312,false,Rx,0,8,00,10,8F,0A,00,FF,00,0B,
605190,000003F3,false,Rx,0,8,5C,66,07,89,FF,7F,00,80,
606104,000003F3,false,Rx,0,8,5C,66,08,8A,FF,7F,00,80,
606340,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
607940,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
609758,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
611576,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
613404,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
614954,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
624996,00000312,false,Rx,0,8,00,10,8F,0B,00,FF,00,0C,
625238,000003F3,false,Rx,0,8,5C,66,09,8B,FF,7F,00,80,
626151,000003F3,false,Rx,0,8,5C,66,0A,8C,FF,7F,00,80,
626386,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
627987,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
629805,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
631623,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
633452,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
644944,00000312,false,Rx,0,8,00,10,8F,0C,00,FF,00,0D,
645187,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
645423,000003F3,false,Rx,0,8,5C,66,0B,8D,FF,7F,00,80,
646104,000003F3,false,Rx,0,8,5C,66,0C,8E,FF,7F,00,80,
646340,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
647933,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
649761,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
651580,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
653398,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
664868,00000312,false,Rx,0,8,00,10,8F,0D,00,FF,00,0E,
665111,000003F3,false,Rx,0,8,5C,66,0D,8F,FF,7F,00,80,
666024,000003F3,false,Rx,0,8,5C,66,0E,90,FF,7F,00,80,
666260,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
667850,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
669679,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
671497,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
673325,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
674937,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
684945,00000312,false,Rx,0,8,00,10,8F,0E,00,FF,00,0F,
685198,000003F3,false,Rx,0,8,5C,66,00,82,FF,7F,00,80,
686111,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
686346,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
687938,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
689756,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
691584,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
693404,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
704956,00000312,false,Rx,0,8,00,10,8F,00,00,FF,00,01,
705197,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
705443,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
707021,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
708844,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
710665,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
712494,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
724989,00000312,false,Rx,0,8,00,10,8F,01,00,FF,00,02,
725241,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
726144,000003F3,false,Rx,0,8,5C,66,04,86,FF,7F,00,80,
726381,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
727972,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
729799,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
731627,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
733446,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
734956,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
744945,00000312,false,Rx,0,8,00,10,8F,02,00,FF,00,03,
745197,000003F3,false,Rx,0,8,5C,66,05,87,FF,7F,00,80,
746110,000003F3,false,Rx,0,8,5C,66,06,88,FF,7F,00,80,
746348,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
747939,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
749766,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
751585,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
753414,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
764977,00000312,false,Rx,0,8,00,10,8F,03,00,FF,00,04,
765229,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
765464,000003F3,false,Rx,0,8,5C,66,07,89,FF,7F,00,80,
766136,000003F3,false,Rx,0,8,5C,66,08,8A,FF,7F,00,80,
766383,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
767977,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
769794,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
771612,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
773431,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
784943,00000312,false,Rx,0,8,00,10,8F,04,00,FF,00,05,
785195,000003F3,false,Rx,0,8,5C,66,09,8B,FF,7F,00,80,
786108,000003F3,false,Rx,0,8,5C,66,0A,8C,FF,7F,00,80,
786345,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
787936,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
789753,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
791581,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
793400,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
795000,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
804970,00000312,false,Rx,0,8,00,10,8F,05,00,FF,00,06,
805222,000003F3,false,Rx,0,8,5C,66,0B,8D,FF,7F,00,80,
806125,000003F3,false,Rx,0,8,5C,66,0C,8E,FF,7F,00,80,
806372,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
807963,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
809780,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
811609,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
813429,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
824922,00000312,false,Rx,0,8,00,10,8F,06,00,FF,00,07,
825164,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
825400,000003F3,false,Rx,0,8,5C,66,0D,8F,FF,7F,00,80,
826081,000003F3,false,Rx,0,8,5C,66,0E,90,FF,7F,00,80,
826318,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
827911,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
829728,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
831556,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
833375,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
844947,00000312,false,Rx,0,8,00,10,8F,07,00,FF,00,08,
845199,000003F3,false,Rx,0,8,5C,66,00,82,FF,7F,00,80,
846112,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
846349,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
847940,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
849757,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
851586,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
853404,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
854953,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
864941,00000312,false,Rx,0,8,00,10,8F,08,00,FF,00,09,
866102,000003F3,false,Rx,0,8,5C,66,04,86,FF,7F,00,80,
866339,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
867928,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
869755,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
871575,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
873394,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
884946,00000312,false,Rx,0,8,00,10,8F,09,00,FF,00,0A,
885188,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
885425,000003F3,false,Rx,0,8,5C,66,05,87,FF,7F,00,80,
886105,000003F3,false,Rx,0,8,5C,66,06,88,FF,7F,00,80,
886352,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
887945,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
889762,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
891581,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
893399,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
904941,00000312,false,Rx,0,8,00,10,8F,0A,00,FF,00,0B,
905193,000003F3,false,Rx,0,8,5C,66,07,89,FF,7F,00,80,
906107,000003F3,false,Rx,0,8,5C,66,08,8A,FF,7F,00,80,
906343,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
907934,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
909761,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
911581,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
913399,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
914959,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
924987,00000312,false,Rx,0,8,00,10,8F,0B,00,FF,00,0C,
925239,000003F3,false,Rx,0,8,5C,66,09,8B,FF,7F,00,80,
926153,000003F3,false,Rx,0,8,5C,66,0A,8C,FF,7F,00,80,
926389,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
927980,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
929807,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
931626,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
933444,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
944946,00000312,false,Rx,0,8,00,10,8F,0C,00,FF,00,0D,
945199,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
945436,000003F3,false,Rx,0,8,5C,66,0B,8D,FF,7F,00,80,
946107,000003F3,false,Rx,0,8,5C,66,0C,8E,FF,7F,00,80,
946353,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
947946,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
949762,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
951592,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
953410,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
964972,00000312,false,Rx,0,8,00,10,8F,0D,00,FF,00,0E,
965214,000003F3,false,Rx,0,8,5C,66,0D,8F,FF,7F,00,80,
966128,000003F3,false,Rx,0,8,5C,66,0E,90,FF,7F,00,80,
966364,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
967954,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
969781,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
971601,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
973429,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
974918,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
984916,00000312,false,Rx,0,8,00,10,8F,0E,00,FF,00,0F,
985168,000003F3,false,Rx,0,8,5C,66,00,82,FF,7F,00,80,
986083,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
986318,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
987909,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
989736,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
991555,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
993373,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
1004956,00000312,false,Rx,0,8,00,10,8F,00,00,FF,00,01,
1005200,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
1005435,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
1007024,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
1008845,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
1010666,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
1012494,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
1024986,00000312,false,Rx,0,8,00,10,8F,01,00,FF,00,02,
1025240,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
1026143,000003F3,false,Rx,0,8,5C,66,04,86,FF,7F,00,80,
1026388,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
