Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
528850,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
529087,000003F3,false,Rx,0,8,5C,66,05,87,FF,7F,00,80,
529767,000003F3,false,Rx,0,8,5C,66,06,88,FF,7F,00,80,
530004,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
531595,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
533425,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
535243,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
537071,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
548693,00000312,false,Rx,0,8,00,10,8F,03,00,FF,00,04,
548937,000003F3,false,Rx,0,8,5C,66,07,89,FF,7F,00,80,
549848,000003F3,false,Rx,0,8,5C,66,08,8A,FF,7F,00,80,
550095,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
551685,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
553505,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
555322,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
557142,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
558650,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
568649,00000312,false,Rx,0,8,00,10,8F,04,00,FF,00,05,
568893,000003F3,false,Rx,0,8,5C,66,09,8B,FF,7F,00,80,
569805,000003F3,false,Rx,0,8,5C,66,0A,8C,FF,7F,00,80,
570042,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
571641,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
573461,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
575279,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
577108,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
588649,00000312,false,Rx,0,8,00,10,8F,05,00,FF,00,06,
588893,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
589129,000003F3,false,Rx,0,8,5C,66,0B,8D,FF,7F,00,80,
589809,000003F3,false,Rx,0,8,5C,66,0C,8E,FF,7F,00,80,
590046,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
591638,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
593456,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
595275,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
597105,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
608649,00000312,false,Rx,0,8,00,10,8F,06,00,FF,00,07,
608903,000003F3,false,Rx,0,8,5C,66,0D,8F,FF,7F,00,80,
609804,000003F3,false,Rx,0,8,5C,66,0E,90,FF,7F,00,80,
610051,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
611642,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
613461,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
615288,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
617108,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
618677,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
628646,00000312,false,Rx,0,8,00,10,8F,07,00,FF,00,08,
628899,000003F3,false,Rx,0,8,5C,66,00,82,FF,7F,00,80,
629811,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
630050,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
631639,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
633458,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
635276,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
637105,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
648686,00000312,false,Rx,0,8,00,10,8F,08,00,FF,00,09,
648929,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
649841,000003F3,false,Rx,0,8,5C,66,04,86,FF,7F,00,80,
650079,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
651669,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
653488,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
655316,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
657135,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
668636,00000312,false,Rx,0,8,00,10,8F,09,00,FF,00,0A,
668889,000003F3,false,Rx,0,8,5C,66,05,87,FF,7F,00,80,
669801,000003F3,false,Rx,0,8,5C,66,06,88,FF,7F,00,80,
670040,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
671629,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
673458,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
675276,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
677095,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
678624,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
688561,00000312,false,Rx,0,8,00,10,8F,0A,00,FF,00,0B,
688813,000003F3,false,Rx,0,8,5C,66,07,89,FF,7F,00,80,
689726,000003F3,false,Rx,0,8,5C,66,08,8A,FF,7F,00,80,
689954,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
691554,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
693372,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
695201,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
697020,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
708692,00000312,false,Rx,0,8,00,10,8F,0B,00,FF,00,0C,
708935,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
709172,000003F3,false,Rx,0,8,5C,66,09,8B,FF,7F,00,80,
709853,000003F3,false,Rx,0,8,5C,66,0A,8C,FF,7F,00,80,
710090,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
711681,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
713499,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
715329,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
717146,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
728646,00000312,false,Rx,0,8,00,10,8F,0C,00,FF,00,0D,
728889,000003F3,false,Rx,0,8,5C,66,0B,8D,FF,7F,00,80,
729801,000003F3,false,Rx,0,8,5C,66,0C,8E,FF,7F,00,80,
730040,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
731639,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
733458,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
735287,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
737105,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
738654,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
748692,00000312,false,Rx,0,8,00,10,8F,0D,00,FF,00,0E,
748945,000003F3,false,Rx,0,8,5C,66,0D,8F,FF,7F,00,80,
749859,000003F3,false,Rx,0,8,5C,66,0E,90,FF,7F,00,80,
750095,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
751684,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
753504,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
755333,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
757151,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
768642,00000312,false,Rx,0,8,00,10,8F,0E,00,FF,00,0F,
768895,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
769132,000003F3,false,Rx,0,8,5C,66,00,82,FF,7F,00,80,
769812,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
770038,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
771630,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
773458,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
775277,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
777106,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
788646,00000312,false,Rx,0,8,00,10,8F,00,00,FF,00,01,
788899,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
790717,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
792539,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
794360,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
796189,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
798653,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
808649,00000312,false,Rx,0,8,00,10,8F,01,00,FF,00,02,
808893,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
