Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8334030,00000312,false,Rx,0,8,00,20,8F,01,00,FF,00,01,
8334282,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
8335195,000003F3,false,Rx,0,8,5C,66,04,86,FF,7F,00,80,
8335432,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
8337024,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
8338852,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
8340670,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
8342489,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
8343938,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
8353986,00000312,false,Rx,0,8,00,20,8F,02,00,FF,00,02,
8354238,000003F3,false,Rx,0,8,5C,66,05,87,FF,7F,00,80,
8355151,000003F3,false,Rx,0,8,5C,66,06,88,FF,7F,00,80,
8355388,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
8356981,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
8358797,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
8360627,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
8362445,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
8374017,00000312,false,Rx,0,8,00,20,8F,03,00,FF,00,03,
8374269,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
8374506,000003F3,false,Rx,0,8,5C,66,07,89,FF,7F,00,80,
8375176,000003F3,false,Rx,0,8,5C,66,08,8A,FF,7F,00,80,
8375413,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
8377006,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
8378822,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
8380652,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
8382470,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
8394013,00000312,false,Rx,0,8,00,20,8F,04,00,FF,00,04,
8394255,000003F3,false,Rx,0,8,5C,66,09,8B,FF,7F,00,80,
8395168,000003F3,false,Rx,0,8,5C,66,0A,8C,FF,7F,00,80,
8395405,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
8397006,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
8398823,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
8400642,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
8402470,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
8404030,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
8414020,00000312,false,Rx,0,8,00,20,8F,05,00,FF,00,05,
8414262,000003F3,false,Rx,0,8,5C,66,0B,8D,FF,7F,00,80,
8415176,000003F3,false,Rx,0,8,5C,66,0C,8E,FF,7F,00,80,
8415412,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
8417012,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
8418829,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
8420649,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
8422477,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
8433947,00000312,false,Rx,0,8,00,20,8F,06,00,FF,00,06,
8434189,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
8434426,000003F3,false,Rx,0,8,5C,66,0D,8F,FF,7F,00,80,
8435106,000003F3,false,Rx,0,8,5C,66,0E,90,FF,7F,00,80,
8435343,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
8436936,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
8438763,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
8440582,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
8442400,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
8453901,00000312,false,Rx,0,8,00,20,8F,07,00,FF,00,07,
8454153,000003F3,false,Rx,0,8,5C,66,00,82,FF,7F,00,80,
8455066,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
8455303,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
8456894,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
8458710,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
8460530,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
8462358,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
8464065,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
8474019,00000312,false,Rx,0,8,00,20,8F,08,00,FF,00,08,
8475171,000003F3,false,Rx,0,8,5C,66,04,86,FF,7F,00,80,
8475407,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
8476996,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
8478825,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
8480646,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
8482464,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
8493986,00000312,false,Rx,0,8,00,20,8F,09,00,FF,00,09,
8494228,00000422,false,Rx,0,8,00,00,00,00,00,00,00,60,
8494465,000003F3,false,Rx,0,8,5C,66,05,87,FF,7F,00,80,
8495136,000003F3,false,Rx,0,8,5C,66,06,88,FF,7F,00,80,
8495382,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
8496975,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
8498802,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
8500621,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
8502439,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
