Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1366708,00000312,false,Rx,0,8,00,10,8F,04,00,FF,00,05,
1366963,000003F3,false,Rx,0,8,5C,66,09,8B,FF,7F,00,80,
1367876,000003F3,false,Rx,0,8,5C,66,0A,8C,FF,7F,00,80,
1368111,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
1369701,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
1371520,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
1373348,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
1375166,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
1386738,00000312,false,Rx,0,8,00,10,8F,05,00,FF,00,06,
1386983,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
1387219,000003F3,false,Rx,0,8,5C,66,0B,8D,FF,7F,00,80,
1387900,000003F3,false,Rx,0,8,5C,66,0C,8E,FF,7F,00,80,
1388136,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
1389727,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
1391546,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
1393375,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
1395193,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
1406705,00000312,false,Rx,0,8,00,10,8F,06,00,FF,00,07,
1406959,000003F3,false,Rx,0,8,5C,66,0D,8F,FF,7F,00,80,
1407872,000003F3,false,Rx,0,8,5C,66,0E,90,FF,7F,00,80,
1408108,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
1409707,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
1411527,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
1413345,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
1415163,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
1416773,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
1426752,00000312,false,Rx,0,8,00,10,8F,07,00,FF,00,08,
1426996,000003F3,false,Rx,0,8,5C,66,00,82,FF,7F,00,80,
1427909,000003F3,false,Rx,0,8,5C,66,01,83,FF,7F,00,80,
1428144,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
1429744,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
1431564,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
1433382,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
1435212,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
1446681,00000312,false,Rx,0,8,00,10,8F,08,00,FF,00,09,
1446924,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
1447836,000003F3,false,Rx,0,8,5C,66,04,86,FF,7F,00,80,
1448074,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
1449665,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
1451485,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
1453302,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
1455132,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
1466693,00000312,false,Rx,0,8,00,10,8F,09,00,FF,00,0A,
1466936,000003F3,false,Rx,0,8,5C,66,05,87,FF,7F,00,80,
1467848,000003F3,false,Rx,0,8,5C,66,06,88,FF,7F,00,80,
1468095,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
1469684,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
1471504,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
1473323,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
1475152,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
1476711,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
1486710,00000312,false,Rx,0,8,00,10,8F,0A,00,FF,00,0B,
1486953,000003F3,false,Rx,0,8,5C,66,07,89,FF,7F,00,80,
1487866,000003F3,false,Rx,0,8,5C,66,08,8A,FF,7F,00,80,
1488102,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
1489693,000002A0,false,Rx,0,8,00,65,87,00,80,FF,7F,21,
1491521,000002A0,false,Rx,0,8,00,66,88,00,80,FF,7F,21,
1493339,000002A0,false,Rx,0,8,00,67,89,00,80,FF,7F,21,
1495158,000002A0,false,Rx,0,8,00,68,8A,00,80,FF,7F,21,
1506709,00000312,false,Rx,0,8,00,10,8F,0B,00,FF,00,0C,
1506962,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
1507198,000003F3,false,Rx,0,8,5C,66,09,8B,FF,7F,00,80,
1507869,000003F3,false,Rx,0,8,5C,66,0A,8C,FF,7F,00,80,
1508116,000002A0,false,Rx,0,8,00,69,8B,00,80,FF,7F,21,
1509697,000002A0,false,Rx,0,8,00,6A,8C,00,80,FF,7F,21,
1511525,000002A0,false,Rx,0,8,00,6B,8D,00,80,FF,7F,21,
1513343,000002A0,false,Rx,0,8,00,6C,8E,00,80,FF,7F,21,
1515163,000002A0,false,Rx,0,8,00,6D,8F,00,80,FF,7F,21,
1526715,00000312,false,Rx,0,8,00,10,8F,0C,00,FF,00,0D,
1526958,000003F3,false,Rx,0,8,5C,66,0B,8D,FF,7F,00,80,
1527871,000003F3,false,Rx,0,8,5C,66,0C,8E,FF,7F,00,80,
1528108,000002A0,false,Rx,0,8,00,6E,90,00,80,FF,7F,21,
1529708,00000299,false,Rx,0,8,00,00,00,00,00,00,18,74,
1531526,000002A0,false,Rx,0,8,00,60,82,00,80,FF,7F,21,
1533354,000002A0,false,Rx,0,8,00,61,83,00,80,FF,7F,21,
1535173,000002A0,false,Rx,0,8,00,62,84,00,80,FF,7F,21,
1536722,00000422,false,Rx,0,8,00,00,00,00,00,00,00,67,
1546751,00000312,false,Rx,0,8,00,10,8F,0D,00,FF,00,0E,
1546994,000003F3,false,Rx,0,8,5C,66,0D,8F,FF,7F,00,80,
1547907,000003F3,false,Rx,0,8,5C,66,0E,90,FF,7F,00,80,
1548144,000002A0,false,Rx,0,8,00,63,85,00,80,FF,7F,21,
1549733,000002A0,false,Rx,0,8,00,64,86,00,80,FF,7F,21,
