Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
39600597,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
39605370,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
39610583,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
39615373,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
39620857,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
39625640,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
39630581,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
39635371,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
39640575,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
39645366,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
39650578,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
39655371,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
39660572,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
39665356,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
39670577,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
39675361,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
39680581,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
39685362,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
39690573,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
39695356,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
39700567,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
39705348,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
39710570,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
39715351,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
39720572,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
39725353,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
39730565,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
39735356,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
39740567,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
39745348,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
39750560,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
39760563,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
39765345,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
39770557,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
39775347,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
39780559,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
39785340,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
39790562,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
39795352,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
39800555,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
39805335,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
39810557,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
39815347,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
39820550,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
39825340,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
39830552,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
39835342,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
39840544,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
39845324,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
39850547,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
39855337,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
39860549,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
39865330,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
39870543,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
39875333,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
39880545,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
39885326,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
39890548,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
39895327,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
39900540,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
39905329,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
39910541,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
39915321,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
39920533,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
39925323,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
39930536,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
39935326,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
39940538,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
42464952,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
42470165,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
42474945,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
42480158,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
42484950,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
42490161,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
42494952,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
42500163,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
42504945,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
42510166,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
42514947,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
42520158,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
42524940,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
42530161,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
42534952,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
42540163,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
42544945,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
42550156,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
42554947,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
42560148,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
42564930,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
42570151,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
42574942,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
42580154,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
42584936,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
42590160,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
42594941,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
42600145,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
42604936,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
42610147,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
42614928,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
42620140,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
42624932,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
42630145,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
42634926,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
42640140,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
42644921,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
42650143,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
42654924,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
42660135,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
42664926,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
42670137,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
42674928,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
42680139,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
42684920,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
42690131,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
42694922,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
42700137,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
42704919,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
42710130,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
42714922,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
42720125,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
42724906,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
42730127,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
42734909,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
42740119,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
42744910,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
42750121,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
42754912,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
42760125,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
42764906,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
42770118,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
42774909,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
42780120,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
42784901,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
42790113,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
42794904,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
42800115,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
42804907,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
42810118,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
42814910,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
42820120,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
42824902,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
42830113,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
42834905,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
42840115,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
42844898,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
42850118,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
42854900,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
42860110,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
42864893,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
42870103,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
44134718,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
44149915,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
44154706,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
44159917,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
44164698,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
44169910,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
44174701,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
44179913,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
44184694,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
