Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4428228,0000002C,FALSE,Rx,0,8,1E,0,2F,44,9B,E3,8,0
4433439,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,7A,0,0,4F
4438223,0000002C,FALSE,Rx,0,8,1E,0,2F,44,AB,59,8,0
4443443,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,7B,0,0,52
4448228,0000002C,FALSE,Rx,0,8,1E,0,2F,44,BB,C4,8,0
4453439,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,7C,0,0,1
4458222,0000002C,FALSE,Rx,0,8,1E,0,2F,44,CB,30,8,0
4463433,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,7D,0,0,1C
4468218,0000002C,FALSE,Rx,0,8,1E,0,2F,44,DB,AD,8,0
4473429,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,7E,0,0,3B
4478213,0000002C,FALSE,Rx,0,8,1E,0,2F,44,EB,17,8,0
4483424,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,7F,0,0,26
4488208,0000002C,FALSE,Rx,0,8,1E,0,2F,44,FB,8A,8,0
4493420,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,70,0,0,9D
4498214,0000002C,FALSE,Rx,0,8,1E,0,2F,44,0B,E2,8,0
4503424,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,71,0,0,80
4508208,0000002C,FALSE,Rx,0,8,1E,0,2F,44,1B,7F,8,0
4513420,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,72,0,0,A7
4518203,0000002C,FALSE,Rx,0,8,1E,0,2F,44,2B,C5,8,0
4523414,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,73,0,0,BA
4528198,0000002C,FALSE,Rx,0,8,1E,0,2F,44,3B,58,8,0
4533409,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,74,0,0,E9
4538193,0000002C,FALSE,Rx,0,8,1E,0,2F,44,4B,AC,8,0
4543414,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,75,0,0,F4
4548198,0000002C,FALSE,Rx,0,8,1E,0,2F,44,5B,31,8,0
4553409,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,76,0,0,D3
4558193,0000002C,FALSE,Rx,0,8,1E,0,2F,44,6B,8B,8,0
4563404,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,77,0,0,CE
4568187,0000002C,FALSE,Rx,0,8,1E,0,2F,44,7B,16,8,0
4573408,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,78,0,0,75
4578192,0000002C,FALSE,Rx,0,8,1E,0,2F,44,8B,7E,8,0
4583402,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,79,0,0,68
4588186,0000002C,FALSE,Rx,0,8,1E,0,2F,44,9B,E3,8,0
4593397,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,7A,0,0,4F
4598171,0000002C,FALSE,Rx,0,8,1E,0,2F,44,AB,59,8,0
4603403,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,7B,0,0,52
148190,0000002C,FALSE,Rx,0,8,1E,0,2F,44,BB,C4,8,0
153400,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,7C,0,0,1
158184,0000002C,FALSE,Rx,0,8,1E,0,2F,44,CB,30,8,0
163394,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,7D,0,0,1C
168178,0000002C,FALSE,Rx,0,8,1E,0,2F,44,DB,AD,8,0
173389,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,7E,0,0,3B
178173,0000002C,FALSE,Rx,0,8,1E,0,2F,44,EB,17,8,0
183383,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,7F,0,0,26
188167,0000002C,FALSE,Rx,0,8,1E,0,2F,44,FB,8A,8,0
193378,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,70,0,0,9D
198173,0000002C,FALSE,Rx,0,8,1E,0,2F,44,0B,E2,8,0
203384,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,71,0,0,80
208167,0000002C,FALSE,Rx,0,8,1E,0,2F,44,1B,7F,8,0
213378,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,72,0,0,A7
218161,0000002C,FALSE,Rx,0,8,1E,0,2F,44,2B,C5,8,0
223372,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,73,0,0,BA
228156,0000002C,FALSE,Rx,0,8,1E,0,2F,44,3B,58,8,0
233367,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,74,0,0,E9
238151,0000002C,FALSE,Rx,0,8,1E,0,2F,44,4B,AC,8,0
243372,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,75,0,0,F4
248146,0000002C,FALSE,Rx,0,8,1E,0,2F,44,5B,31,8,0
253367,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,76,0,0,D3
258151,0000002C,FALSE,Rx,0,8,1E,0,2F,44,6B,8B,8,0
263362,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,77,0,0,CE
268146,0000002C,FALSE,Rx,0,8,1E,0,2F,44,7B,16,8,0
273357,0.00E+00,FALSE,Rx,0,8,0,0,0,0C,78,0,0,75
278151,0000002C,FALSE,Rx,0,8,1E,0,2F,44,8B,7E,8,0
