Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
602198,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
606980,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
612203,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
616985,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
622198,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
626979,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
632201,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
636982,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
642193,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
646985,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
652190,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
656981,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
662193,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
666975,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
672186,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
676977,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
682188,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
686970,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
692193,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
696975,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
702186,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
706976,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
712187,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
716968,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
722190,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
726971,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
732175,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
736966,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
742180,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
746961,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
752182,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
756964,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
762175,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
766958,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
772180,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
776961,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
782172,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
786954,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
792175,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
796966,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
802177,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
806958,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
812170,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
816961,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
822163,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
826943,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
832164,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
836957,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
842167,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
846950,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
852160,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
856952,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
862163,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
866945,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
872165,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
876947,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
882158,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
886941,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
892152,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
896945,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
902155,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
906937,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
912158,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
916940,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
922160,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
926943,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
932153,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
936945,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
942145,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
946938,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
952150,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
956941,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
962153,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
966934,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
972146,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
976938,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
982139,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
986930,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
992141,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
996933,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
1002144,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
1006925,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
1012136,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
1016930,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
1022141,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
1026923,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
1032144,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
1036925,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
1042136,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
1046917,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
1052129,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
1056920,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
1062131,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
1066912,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
1072134,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
1076925,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
1082126,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
1086916,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
1092127,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
1096919,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
1102130,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
1106912,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
1112124,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
1116915,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
1122136,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
1126917,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
1132128,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
1136909,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
1142120,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
1146902,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
1152125,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
1156907,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
1162120,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
1166900,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
1172121,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
1176902,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
1182113,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
1186904,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
1192115,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
1196896,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
