Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8799357,000000E0,false,Rx,0,8,00,00,00,08,00,00,00,59,
8804138,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
8809359,000000E0,false,Rx,0,8,00,00,00,08,01,00,00,44,
8814142,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
8819354,000000E0,false,Rx,0,8,00,00,00,08,02,00,00,63,
8824146,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
8829357,000000E0,false,Rx,0,8,00,00,00,08,03,00,00,7E,
8834138,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
8839349,000000E0,false,Rx,0,8,00,00,00,08,04,00,00,2D,
8844140,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
8849351,000000E0,false,Rx,0,8,00,00,00,08,05,00,00,30,
8854131,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
8859352,000000E0,false,Rx,0,8,00,00,00,08,06,00,00,17,
8864133,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
8869346,000000E0,false,Rx,0,8,00,00,00,08,07,00,00,0A,
8874127,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
8879339,000000E0,false,Rx,0,8,00,00,00,08,08,00,00,B1,
8884130,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
8889342,000000E0,false,Rx,0,8,00,00,00,08,09,00,00,AC,
8894132,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
8899334,000000E0,false,Rx,0,8,00,00,00,08,0A,00,00,8B,
8904125,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
8909337,000000E0,false,Rx,0,8,00,00,00,08,0B,00,00,96,
8914118,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
8919339,000000E0,false,Rx,0,8,00,00,00,08,0C,00,00,C5,
8924120,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
8929332,000000E0,false,Rx,0,8,00,00,00,08,0D,00,00,D8,
8934123,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
8939334,000000E0,false,Rx,0,8,00,00,00,08,0E,00,00,FF,
8944115,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
8949337,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
8954118,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
8959339,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
8964120,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
8969331,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
8974122,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
8979343,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
8984125,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
8989327,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
8994118,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
8999329,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
9004110,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
