Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
173050082,312,FALSE,Rx,0,8,0,20,8F,1,0,FF,0,1
173059874,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
173069954,312,FALSE,Rx,0,8,0,20,8F,2,0,FF,0,2
173089826,312,FALSE,Rx,0,8,0,20,8F,3,0,FF,0,3
173090115,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
173109986,312,FALSE,Rx,0,8,0,20,8F,4,0,FF,0,4
173120066,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
173129858,312,FALSE,Rx,0,8,0,20,8F,5,0,FF,0,5
173150018,312,FALSE,Rx,0,8,0,20,8F,6,0,FF,0,6
173150307,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
173169890,312,FALSE,Rx,0,8,0,20,8F,7,0,FF,0,7
173179970,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
173190050,312,FALSE,Rx,0,8,0,20,8F,8,0,FF,0,8
173209922,312,FALSE,Rx,0,8,0,20,8F,9,0,FF,0,9
173210211,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
173229794,312,FALSE,Rx,0,8,0,20,8F,0A,0,FF,0,0A
173239874,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
173249954,312,FALSE,Rx,0,8,0,20,8F,0B,0,FF,0,0B
173269826,312,FALSE,Rx,0,8,0,20,8F,0C,0,FF,0,0C
173270115,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
173289986,312,FALSE,Rx,0,8,0,20,8F,0D,0,FF,0,0D
173300066,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
173309858,312,FALSE,Rx,0,8,0,20,8F,0E,0,FF,0,0E
173330018,312,FALSE,Rx,0,8,0,20,8F,0,0,FF,0,0
173330307,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
173349890,312,FALSE,Rx,0,8,0,20,8F,1,0,FF,0,1
173359970,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
173369771,312,FALSE,Rx,0,8,0,20,8F,2,0,FF,0,2
173389922,312,FALSE,Rx,0,8,0,20,8F,3,0,FF,0,3
173390211,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
173409803,312,FALSE,Rx,0,8,0,20,8F,4,0,FF,0,4
173419876,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
173429954,312,FALSE,Rx,0,8,0,20,8F,5,0,FF,0,5
173450114,312,FALSE,Rx,0,8,0,20,8F,6,0,FF,0,6
173450403,422,FALSE,Rx,0,8,0,0,0,0,0,0,0,60
