Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
647293,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
652073,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
657296,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
662087,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
667298,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
672079,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
677301,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
682081,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
687292,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
692073,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
697284,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
702077,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
707278,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
712068,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
717279,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
722072,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
727283,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
732065,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
737277,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
742067,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
747279,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
752061,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
757282,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
762064,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
767275,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
772057,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
777268,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
782059,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
787279,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
792062,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
797273,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
802055,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
807266,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
812057,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
817269,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
822061,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
827272,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
832053,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
837264,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
842058,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
847259,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
852050,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
857261,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
862054,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
867256,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
872037,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
877258,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
882050,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
887262,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
892043,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
897265,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
902046,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
907257,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
912048,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
917259,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
922042,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
927253,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
932034,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
937244,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
942036,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
947257,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
952038,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
957250,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
962030,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
967242,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
972032,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
977244,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
982035,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
987246,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
992027,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
997240,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
1002030,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
1007242,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
1012023,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
1017234,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
1022025,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
1027237,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
1032019,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
1037230,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
1042022,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
1047232,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
1052014,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
1057234,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
1062017,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
1067226,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
1072018,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
1077229,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
1082012,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
1087232,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
1092016,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
1097226,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
1102010,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
1107229,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
1112021,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
1117222,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
1122015,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
1127225,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
1132007,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
1137227,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
1142010,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
1147219,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
1152002,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
1157223,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
1162005,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
1167216,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
1171997,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
1177219,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
1182000,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
1187211,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
1191992,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
1197213,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
1201995,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
1207208,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
1211990,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
1217211,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
1222002,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
1227203,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
1231995,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
1237208,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
1241990,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
1247203,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
1251985,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
1257206,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
1261987,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
1267198,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
1271980,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
1277201,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
1281992,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
1287203,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
