Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2105217,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
2110429,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
2115219,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
2120421,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
2125202,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
2130424,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
2135214,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
2140426,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
2145207,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
2150419,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
2155210,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
2160421,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
2165212,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
2170426,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
2175207,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
2180419,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
2185200,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
2190421,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
2195212,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
2200414,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
2205195,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
2210416,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
2215198,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
2220409,000000E0,false,Rx,0,8,00,00,00,0C,0F,00,00,7F,
2225201,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
2230411,000000E0,false,Rx,0,8,00,00,00,0C,00,00,00,C4,
2235204,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
2240414,000000E0,false,Rx,0,8,00,00,00,0C,01,00,00,D9,
2245196,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
2250406,000000E0,false,Rx,0,8,00,00,00,0C,02,00,00,FE,
2255199,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
2260410,000000E0,false,Rx,0,8,00,00,00,0C,03,00,00,E3,
2265191,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
2270411,000000E0,false,Rx,0,8,00,00,00,0C,04,00,00,B0,
2275195,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
2280404,000000E0,false,Rx,0,8,00,00,00,0C,05,00,00,AD,
2285187,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
2290397,000000E0,false,Rx,0,8,00,00,00,0C,06,00,00,8A,
2295189,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
2300399,000000E0,false,Rx,0,8,00,00,00,0C,07,00,00,97,
2305191,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
2310401,000000E0,false,Rx,0,8,00,00,00,0C,08,00,00,2C,
2315184,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
2320394,000000E0,false,Rx,0,8,00,00,00,0C,09,00,00,31,
2325186,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
2330408,000000E0,false,Rx,0,8,00,00,00,0C,0A,00,00,16,
2335189,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
2340400,000000E0,false,Rx,0,8,00,00,00,0C,0B,00,00,0B,
2345181,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
2350393,000000E0,false,Rx,0,8,00,00,00,0C,0C,00,00,58,
2355175,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
2360386,000000E0,false,Rx,0,8,00,00,00,0C,0D,00,00,45,
2365177,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
2370389,000000E0,false,Rx,0,8,00,00,00,0C,0E,00,00,62,
2375179,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
